mix_id,i_track,track_id,timestamp,artist,title,filename
cPo-qzbGLqE,00,0tNDAyqBm2A,0000,Sumbawanga,Yebo,00-0tNDAyqBm2A.wav
cPo-qzbGLqE,01,yAFEClw71TM,0320,Raf Dee-Jay,Hey Girl (Club Mix),01-yAFEClw71TM.wav
cPo-qzbGLqE,02,JtPpF2K8G3g,0516,Jam Tribe,Dozal,02-JtPpF2K8G3g.wav
cPo-qzbGLqE,03,Ri2xF0NYLI4,0650,Bailoo,Tip and Touch (Come On!) (Large Mello Mix),03-Ri2xF0NYLI4.wav
cPo-qzbGLqE,04,j6NZ-6zow60,0795,Pierre Akendengue,Epuguzu,04-j6NZ-6zow60.wav
cPo-qzbGLqE,05,RocnNoPCZDw,0960,Yannick Rodony,Pa Enerve Mwen,05-RocnNoPCZDw.wav
cPo-qzbGLqE,06,urJv3U_fgCY,1080,Filipe Mukenga,Hailwa Yange Oike Mbela,06-urJv3U_fgCY.wav
cPo-qzbGLqE,07,_Y8rjKHE3Ew,1280,Lucas Croon,Ascona,07-_Y8rjKHE3Ew.wav
cPo-qzbGLqE,08,WdXLAUnxE1o,1430,Double Face,Tengo La Sangre Caliente (Base),08-WdXLAUnxE1o.wav
cPo-qzbGLqE,09,8GeAuIRJfVs,1590,Leroy Burgess & Saving Coco,Work It Out,09-8GeAuIRJfVs.wav
cPo-qzbGLqE,10,J6Vv7BjqJWU,1970,Jerry Blackshear,Defected,10-J6Vv7BjqJWU.wav
cPo-qzbGLqE,11,gqUg31Ns_pQ,2173,Barbara Hernandez,All Nite Tonight (Nomad's Reel To Realness Mix),11-gqUg31Ns_pQ.wav
cPo-qzbGLqE,12,YtY17Yyvr94,2370,Alphonsus Idigo,We Got Love,12-YtY17Yyvr94.wav
cPo-qzbGLqE,13,IyZwrGzI48A,2580,Herbie Goins,I Feel Good (Dub Version),13-IyZwrGzI48A.wav
cPo-qzbGLqE,14,3wlOuB8yFB8,2780,Stardom Groove Feat. Tonya Wynne,It's Too Late (Club Mix),14-3wlOuB8yFB8.wav
cPo-qzbGLqE,15,SOK1Q92aDVc,3015,Mitchbal & Larry Williams,Jack the House (Frankie Knuckles Remix),15-SOK1Q92aDVc.wav
cPo-qzbGLqE,16,ihvcfCTp3Hk,3190,Dada Nada,Deep Love (Slamminâ€™ Da Jazz Mix),16-ihvcfCTp3Hk.wav
cPo-qzbGLqE,17,ghUPdkreH8E,3360,No Justice,Lately,17-ghUPdkreH8E.wav
cPo-qzbGLqE,18,eI7xt3nW0AQ,3560,C.F.M. Band,Dance To The Music (HNRG Houzz Mix),18-eI7xt3nW0AQ.wav
cPo-qzbGLqE,19,qR1QK0SxqAk,3730,Flex,Everybody Up (Dub),19-qR1QK0SxqAk.wav
cPo-qzbGLqE,20,ApSsMHUKvpM,3918,Caron Wheeler,Beach Of The War Goddess (Tactical Instrumental),20-ApSsMHUKvpM.wav
cPo-qzbGLqE,21,KjKEo6IP5gA,4085,Blake Baxter,Brothers Gonna Work It Out,21-KjKEo6IP5gA.wav
cPo-qzbGLqE,22,MK6Egb1JNio,4335,Neal,Good Lovin' (Smack Love Mix),22-MK6Egb1JNio.wav
cPo-qzbGLqE,23,wV_tnUgbqYY,4523,Dirty Harry,Stay Forever,23-wV_tnUgbqYY.wav
cPo-qzbGLqE,24,TedAov2Fzq4,4680,Bee Gees,Paying The Price Of Love (The Ocean Drive Dub),24-TedAov2Fzq4.wav
cPo-qzbGLqE,25,RoDfh2ILLwg,4845,The Brooklyn Heat & Soul Band,Come And Fly With Me (Joaquin's Improvisational Remix Mix),25-RoDfh2ILLwg.wav
cPo-qzbGLqE,26,EVN0XR9HER4,5069,Djama,Zay,26-EVN0XR9HER4.wav
cPo-qzbGLqE,27,UUHF8nCDmlo,5240,Black Diamonds,Party Time,27-UUHF8nCDmlo.wav
cPo-qzbGLqE,28,snxxFctrTG4,5640,Martha Ulaeto,African Dance,28-snxxFctrTG4.wav
cPo-qzbGLqE,29,BgRKU9TZ9Uw,5865,Calm presents K.F.,Shining of Life (Flutemental Mix),29-BgRKU9TZ9Uw.wav
cPo-qzbGLqE,30,daI90GBy5G4,6520,Mental Remedy,The Sun The Moon Our Souls (Electric Voices Mix),30-daI90GBy5G4.wav